word	roman
เคเบอร์	caber
คอลัมน์	column
คอลดรอน	cauldron
คลาสรูม	classroom
แคมปิง	camping
แคลคูลัส	calculus
โค้ช	coach
แคล็ปเปอร์บอร์ด	clapperboard
เคลฟ	clef
แคลริเน็ต	clarinet
คลิฟฟ์	cliff
โคเวลไลต์	covellite
โคม่า	coma
คลิฟฟอร์ไดต์	cliffordite
ไคลแม็กซ์	climax
คัพเค้ก	cup cake
คลอราร์จิไรต์	chlorargyrite
แคลนนิช	clannish
ไคลแมกซ์	climax
คอลัมนิสต์	columnist
โครมาทิน	chromatin
คาเฟ่	cafe
คอฟดอร์สไกต์คอฟดอร์สไกต์	kovdorskite
คอลลิเกทิฟ	colligative
คิดเวลไลต์	kidwellite
แคพิบารา	capybara
เคส	case
คอลโลฟาไนต์	collophanite
คลินช์	clinch
คลอแอนไทต์	chloanthite
ไคลโนคลอร์	clinochlore
คอฟฟีช็อป	coffee shop
คาร์พินเตอร์	carpenter
เคฟ	cave
คอลโลเฟน	collophane
คาร์โนทอรัส	carnotaurus
คิโนไอต์	kinoite
แคลซิเฟอรอล	calciferol
คาร์นิวอร์	carnivore
คุตนอฮอไรต์	kutnohorite
แคชวล	casual
คาร์ดินัล	cardinal
แคนนอน	cannon
แคลน	clan
คริปโตเคอเรนซี่	cryptocurrency
แคลเซียมคาร์ไบด์	calcium carbide
แคนเทอร์	canter
โคบอลต์	cobalt
คลอราพาไทต์	chlorapatite
แคเทอกอรี	category
คลีนเนอร์	cleaner
โคออร์ดิเนต	coordinate
แคช	cache
แคลช	clash
แคล็ก	claque
เคลย์มอร์	claymore
คาร์ดิกัน	cardigan
แคชเลส	cashless
แคโทด	cathode
แคร์ริจ	carriage
โครแมติก	chromatic
แคนเซอร์	cancer
คอมมิวนิตี	community
คอลลาเจน	collagen
คาบาซา	cabasa
คลอโรฟิลล์	chlorophyll
แคลลัส	callus
คาร์บอลิก	carbolic
ไคสโทไลต์	chaistolite
คริโซเพรส	chrysoprase
คาร์นีเลียน	carnelian
คีย์บอร์ด	keyboard
แคร์ฟรี	carefree
คอรอยด์	choroid
แคเมอรา	camera
คลิง	cling
เคลย์	clay
คอนเซปต์	concept
คอฟดอร์สไกต์	kovdorskite
แคนเตอร์	canter
คาลดรอน	caldron
แคนนี	canny
ค็อกเทล	cocktail
คาร์ดิแอ็ก	cardiac
คิเมอรา	chimera
คาร์บอย	carboy
เคซีน	casein
เคลนส์	cleanse
คลาสเมต	classmate
คาราวาน	caravan
โคะกิริโกะ	kokiriko
แคนอน	canon
คอร์ด	chord
แคบาไซต์	chabasite
แคล์ฟ	calf
โคลอี	chloe
คลิปเปอร์	clipper
คริโซไทล์	chrysotile
แคลิโค	calico
คอร์รัปชัน	corruption
แคสก์	cask
คาสก์	cask
คัมแบ็ค	comeback
โคไซต์	coesite
โคบอลไทต์	cobaltite
แคแวนไซต์	cavansite
คอมเมดี้	comedy
แคร์รอต	carrot
แคลริฟาย	clarify
คอรัล	choral
แคสเคด	cascade
ไคมีรา	chimera
แคสต์	cast
คัฟเวอร์	cover
คาลดรอน	cauldron
แคลมป์	clamp
แครักเตอไรเซชัน	characterization
คูเมนไจต์	cumengeite
โครมาโทกราฟี	chromatography
โคเซแคนต์	cosecant
เคอร์มิไซต์	kermesite
เคลิร์ก	clerk
คอมป์ซอกนาทัส	compsognathus
ไคม์	chyme
คุลาไนต์	kulanite
ไควเออร์	choir
แคริบเบียน	caribbean
แคร์รี	carry
แคลมเบก	clambake
คอร์ส	course
แคร์นกอร์ม	cairngorm
แคร์เรียร์	carrier
โควิด 19	covid19
แครนดาลไลต์	crandallite
คลาส	class
คริแซนเทมัม	chrysanthemum
คลาริเน็ต	clarinet
คอมเมนต์	comment
โคด	code
แค็ตนิป	catnip
แค็ตตาล็อก	catalogue
แคลิฟอร์ไนต์	californite
เคลี	ceilidh
โครม	chrome
คอลเซนเตอร์	call center
แคชแบ็ก	cashback
แคโคซีไนต์	cacoxenite
คอเลสเตอรอล	cholesterol
คาร์ป	crap
เคลริก	cleric
โครเก้	croquet
คอร์เดียไรต์	cordierite
โควิด	covid
แคล็ป	clap
คอปเปอร์	copper
แคนตัส	cactus
คอร์นเฟลกส์	cornflakes
คุนไซต์	kunzite
แคสซิเทอไรต์	cassiterite
คาเดอร์	cadre
คาแทสโตรฟี	catastrophe
ไคลโนฮีไดรต์	clinohrdrite
คริสตัล	crystal
โครมา	chroma
คาโลเมล	calomel
คริสมาสต์	christmas
แคฟแทน	caftan
แค็ปชัน	caption
คอลดรอน	caldron
คิว	queue
แค็ตวอล์ก	catwalk
คาลโคไซต์	chalcocite
แคมบริก	cambric
คัลเจอร์	culture
แคล็ปบอร์ด	clapboard
โค้ด	code
แคบ	cab
เคานต์ดาวน์	countdown
คูเรียม	curium
คาร์เพนเตอร์	carpenter
แคชูว์	cashew
แคนิสเตอร์	canister
คลีฟ	cleave
คอริโทซอรัส	corythosaurus
คิก	kick
แคลเซียมไซคลาเมต	calcium cyclamate
แคโมมีล	chamomile
แคสเปียน	caspian
แครีส	caries
คอมมานโด	commando
เคป๊อป	kpop
คาลโคฟาไนต์	chalcophanite
แคลเซียม	calcium
แคมเพน	campaign
แคมป์	camp
แคสติง	casting
เครดิต	credit
คอมมิวนิสต์	communism
ครัวซองต์	croissant
คาร์ฟ	carve
แคลสซี	classy
คิวบาไนต์	cubanite
คอมเมนท์	comment
คลาร์ก	clerk
คาสต์	cast
แคร์	care
โครไมต์	chromite
เคอร์ซูไทต์	kaersutite
คาร์ไบด์	carbide
แคลไซต์	calcite
แคมปัส	campus
คอลเซนเตอร์	call centre
แคลิเปอส์	calipers
ไคลน์	cline
คาร์เนเลียน	carnelian
แคมคอร์เดอร์	camcorder
คาร์ซิก	carsick
แคลิบอไรต์	kaliborite
แคลอรี	calorie
โคลมาไนต์	colemanite
แคลิเบอร์	caliber
ไคลเอนต์	client
แคเมล	camel
เคออส	chaos
คลีน	clean
คลิงก์	clink
แคสเตอร์	castor
คาลโคซิเดอไรต์	chalcosiderie
แคร์ฟุล	careful
แคนไดต์	kandite
แคมชาฟต์	camshaft
คีย์เวิร์ด	keyword
คลีฟแลนไดต์	cleavelandite
โคลแมนไอต์	colemanite
คาร์บอนมอนอกไซด์	carbon monoxide
ไครโอไลต์	cryolite
คอล	call
แคดเมียม	cadmium
คอมแพกต์ดิสก์	compact disc
คาร์บอเนต	carbonate
แคเฟ	café
แคลิโดไนต์	caledonite
คอนแท็กต์เซนเตอร์	contact center
คลิฟฟ์	cliffe
แคดดี	caddie
ไคลโนเคลส	clinoclase
คาร์บูเรเตอร์	carburetor
แคชูว์นัต	cashew nut
คอร์ดิไลต์	cordylite
คลิก	click
คลิฟ	cliff
คาร์	car
คาลโคฟิลไลต์	chalcophyllite
เคร์ริจ	carriage
แคเชต์	cachet
ไคโอไลต์	chiolite
คอร์เนอรูพีน	kornerupine
คาร์บังเคิล	carbuncle
โค้ก	coke
แคลม	clam
แค็ปซิคัม	capsicum
คีเซลกูห์	kieselguh
เคเบิล	cable
โคเคน	cocaine
แคลส	class
คาร์ต	cart
คาร์โบนารา	carbonara
คอมเม้น	comment
คาเฟอีน	caffeine
คลอริทอยด์	chloritoid
คัมแบค	comeback
ครีเอทีฟส์คอมมอนส์	creative commons
แคมเปอร์	camper
ครีม	cream
คาลแคนไทต์	chalcanthite
คาร์ดามัม	cardamum
คลามิเดีย	chlamidia
คลินิก	clinic
โคนิคาลไซต์	conichalcite
คาร์ดิแกน	cardigan
แคโมมีล	camomile
เคน	cane
แคนดิเดต	candidate
คีเลชัน	chelation
แคเฟ	cafe
โคอาลา	koala
เคออติก	chaotic
คาร์โบไฮเดรต	carbohydrate
แคโมไมล์	camomile
คอร์นวอลไลต์	cornwallite
คาร์ตอน	carton
เคร์รี	carry
คาลซิโดนี	chalcedony
โคลก	cloak
คาร์คัส	carcass
คาล์ม	calm
คานต์	can't
คอรัส	chorus
คลอว์	claw
คาทอลิก	catholic
คลิปบอร์ด	clipboard
คาร์ซีต	car seat
คาล์ฟ	calf
แคกตัส	cactus
คริปโต	crypto
คริโซเบริล	chrysoberyl
แค็กเกิล	cackle
ครีเอต	create
ไคแอสโทไลต์	chiastolite
คริสต์มาส	christmas
คริปโตเคอร์เรนซี	cryptocurrency
ครีไดต์	creedite
เคเตอร์	cater
คาร์นัลไลต์	carnallite
แคปริคอร์น	capricorn
แค็ปเตอร์	captor
คอมพลีต	complete
แคโรทีน	carotene
เคพอน	capon
เคจ	cage
คาร์โนไทต์	carnotite
แคริบู	caribou
คลอโรฟอร์ม	chloroform
คาร์เนชัน	carnation
คอนเสิร์ต	concert
คาร์บีน	carbine
แคลสเมต	classmate
แคนดี	candy
ไคทิน	chitin
คัมมิงโทไนต์	cummingtonite
โครซิโดไลต์	crocidolite
ไคมีรา	chimaera
คอร์เนไทต์	cornetite
เคร์เรียน	carrion
คริสโทบาไลต์	cristobalite
คอลเลกชัน	collection
ไครสต์เชิร์ช	christchurch
ควอรันทีน	quarantine
คริแซนทิมัม	chrysanthemum
คริปทอน	krypton
แคลสรูม	classroom
คาร์โก	cargo
แคลิเปอส์	callipers
ไคยาไนต์	kyanite
เคไนน์	canine
เคอเรียร์	career
คลับเฮาส์	club house
คาห์ไนต์	cahnite
เงิน	silver
เจนนิเฟอร์	jennifer
จาวา	java
เจอร์เบรา	gerbera
จีโอบาซิลลัส สเตียโรเทอร์โมฟิลัส	geobacillus stearothermophilus
จอร์ดาไนต์	jordanite
จาวาสคริปต์	javascript
จอร์จ วอชิงตัน	george washington
จัมป์ซูต	jumpsuit
แจ็ก-โอ-แลนเทิร์น	jacko'lantern
จีพียู	gpu
จุมลา	joomla
จูมล่า	joomla
จาซินท์	jacinth
เจมซอไนต์	jamesonite
เจด	jade
โจอะควิไนต์	joaquinite
แจซ	jazz
แจ็คเก็ต	jackets
จาร์กอน	jargon
เจอร์เมเนียม	germanium
ไจโรไลต์	gyrolite
จอห์น	john
จ็อกกิง	jogging
จาคอบไซต์	jacobsite
เจดา	jada
จาร์กูน	jargoon
แจสเพอร์	jasper
แจ็กเกต	jacket
จอร์จ	george
จิงเกิลสติก	jingle stick
ช็อปปิง	shopping
ชาร์ม	charm
เชมเบอร์	chamber
ชิมแพนซี	chimpanzee
เชส	chess
ชาร์โคล	charcoal
ชีต	cheat
ชมิตเทอไรต์	schmitterrite
ชิลเดรไนต์	childrenite
ชีสเบอร์เกอร์	cheeseburger
แชนเนิล	channel
ไชม์	chime
แชเลต์	chalet
ชิกกิน	chicken
แชเรียต	chariot
ชิลแล็กซ์	chillax
เชสต์นัต	chestnut
แชต	chat
เชิร์น	churn
ชินุก	chinook
แชนเนล	channel
ชาลส์	charles
ชัมมี	chummy
ชีลด์	shield
เชริล	cheryl
ช้อปปิ้ง	shopping
ชาร์จเจอร์	charger
ชอมป์	chomp
ไชนาทาวน์	chinatown
ชิกเกน	chicken
ช็อป	shop
เชสนัต	chestnut
ชิวัลรี	chivalry
ชีฟ	chief
เชฟรอน	chevron
แชเล	chalet
ชาร์ต	chart
ชัม	chum
เชสต์	chaste
ช็อป	chop
ชอร์ต	short
แชนต์	chant
ชิลลี	chilly
เชียร์	cheer
ชีตาห์	cheetah
ชิปเปอร์	chipper
ชินชิลลา	chinchilla
ชอป	chop
เชรับ	cherubim
ไชลด์ฮุด	childhood
ชาร์เตอร์	charter
เชลแล็ก	shellac
ไชน์เทอราพี	shine therapy
ไชลด์	child
ชิงก์	chink
ชิลเดรน	children
แชร์	share
เชอร์เบต	sherbet
เชลโล	cello
ชีไลต์	scheelite
ชับบี	chubby
ชอล์ก	chalk
ชัวร์	sure
เชงเดไอต์	chengdeite
ชิคาโน	chicano
ชะแล็ก	shellac
ชอป	shop
ชูเพสตรี	choux pastry
เชริตี	charity
เชิร์ช	church
เชสซิไลต์	chessylite
เช็ก	check
เชอนีล	chenille
ชิก	chick
ชาร์ลี	charlie
แชนเดอเลียร์	chandelier
ชูต	chute
เชฟโรเลต	chevrolet
ชอปปิง	shopping
ชัตเตอร์	shutter
ไชน์	shine
เชิร์ต	chert
ชอน	sean
ชอร์ล	schorl
ชอยซ์	choice
แชสซี	chassis
ชูส	choose
เช็ค	cheque
ชีส	cheese
ชับ	chub
แช็ต	chat
ช็อปสติก	chopstick
ชิวาวา	chihuahua
ชิมนีย์	chimney
ชันเตอร์	chunter
ชอร์	chore
เชลฟ์	shelf
แช็ป	chap
เชนซอว์	chainsaw
ชูครีม	choux cream
ชิล	chill
แชทบอท	chatbot
ชัมป์	chump
ช็อกโกแลต	chocolate
ชัต	shut
ชิลลี	chilli
ชาร์ด	chard
ชีสเค้ก	cheesecake
เชอร์รี่	cherry
เชสเตอร์	chester
ชีก	cheek
ชิงเกิล	shingle
เชิ้ต	shirt
แชมเปียน	champion
ชิป	chip
ชิฟฟอน	chiffon
เชน	chain
ชิเคน	chicane
ชาร์มมิง	charming
เชสต์	chest
แชร์	cher
แชลเลนเจอร์	challenger
ช้อป	shop
เชฟ	chef
เชรับ	cherub
แช็ปเตอร์	chapter
ไชนีส	chinese
แชนดิเลียร์	chandelier
เชิร์ป	chirp
ชิเคอรี	chicory
ชอร์ไทต์	shortite
ช็องเรอ	genre
ช็อก	shock
ช็อกโกเลต	chocolate
ชิลเลอร์	chiller
แชมป์	champ
ชิตทาโคซอรัส	psittacosaurus
เชอร์ไชต์	churchite
แชมเปียนชิป	championship
เช็กเมต	checkmate
ซาร์โดนิกซ์	sardonyx
ซูแซนไนต์	susannite
ซีเรียม	cerium
ซีส	cease
ซัมเมอร์	summer
ไซเกิล	cycle
ซัพพลายเออร์	supplier
ซีเมนต์	cement
เซริโมนี	ceremony
โซเดียมไฮโดรเจนคาร์บอเนต	sodium hydrogen carbonate
ไซเรน	siren
เซนเตอร์	centre
โซเดียมคาร์บอเนต	sodium carbonate
ซีต	seat
ซัพพอร์ต	support
ซีเรีย	syria
ซิทริก	citric
เซิร์ลไซต์	searlessite
ซาร่า	zara
ไซโกมาตา	zygomata
เซอร์โคเนีย	zirconnia
ซีรอกซ์	xerox
ซิกาแร็ต	cigarette
ซิโทรเนลลา	citronella
ไซเทชัน	citation
โซโล	solo
ซีนอน	xenon
ไซโทไคนิน	cytokinin
เซนติเมตร	centimetre
ซีลีเนียม	selenium
ซินเจไนต์	syngenite
ซิสเติร์น	cistern
เซริไซต์	sericite
ซาแมเรียม	samarium
ซูซอไรต์	suzorite
แซปไฟร์	sapphire
โซนี่อีริคสัน	sony ericsson
ซิงค์	sync
ซิวิต	civet
โซเชียลมีเดีย	social media
ซิกซ์แพ็ก	six pack
เซลาโดไนต์	celadonite
ไซยาโนทริไคต์	cyanotrichite
ซิวิเลียน	civilian
เซเลอรี	celery
โซเชียล	social
ซูเปอร์คอมพิวเตอร์	supercomputer
เซอร์โคเนียม	zirconium
ซิคาดา	cicada
ซอยไซต์	zoisite
ซิงไซต์	zincite
ซิการ์	cigar
ซีน	scene
แซ็กโซโฟน	saxophone
ซาร์ทอไรต์	sartorite
ซิทรอน	citron
ซิติเซน	citizen
เซนติลิตร	centilitre
แซลมอน	salmon
ซิงเกิ้ลมัม	single mom
ซับสไครบ์	subscribe
ซิกเนเชอร์	signature
ซีดีรอม	cd rom
ซานิดีน	sanidine
ไซยาไนต์	cyanite
ซานตาคลอส	santa claus
ซูโดโบลีไอต์	pseudoboleite
ซูโอลูไนต์	suolunite
ซิวิไลซ์	civilize
เซิร์ฟเวอร์	server
ซิงก์เบลนด์	zinc blende
ซูพรีม	supreme
เซราร์จีไรต์	cerargyrite
เซเลไนต์	selenite
ซีไอโอ	cio
ซิแลนโทร	cilantro
ซูจิไลต์	sugilite
เซลลูลอยด์	celluloid
โซเดียมไฮโดรเจนกลูทาเมต	sodium hydrogen glutamate
เซราโทซอรัส	ceratosaurus
เซอร์ซี	circe
เซอร์ แฮรี่	sir harry
เซ็นเซอร์	sensor
เซอร์ทิฟิเคต	certificate
ซูเมไบต์	tsumebite
เซนต์	cent
ซาทินสปาร์	satin spar
เซอร์เพนทีน	serpentine
ซิเคทริกซ์	cicatrix
แซนด์วิช	sandwich
เซอร์คัส	circus
ซัสเซไซต์	suaaexite
ซีอีโอ	ceo
ซิคาทริกซ์	cicatrix
ซับสไกรบ์	subscribe
ซิลวาไนต์	sylvanite
ซิลเวอร์	silver
เซลล์	cell
ซูเปอร์สตาร์	superstar
ไซต์	site
ซินิมา	cinema
โซดาไนเตอร์	sodaniter
เซนเซอร์	censer
โซเดียมไฮโดรเจนซัลเฟต	sodium hydrogen sulphate
ซีซีทีวี	cctv
ซีลิง	ceiling
ซินนาบาร์	cinnabar
แซนิไทเซอร์	sanitizer
เซรัฟ	seraphim
ซูโดบรูไคต์	pseudobrookite
ซิเลีย	cilia
เซอร์เบอรัส	cerberus
ซิงไคต์	zinkite
ซิทรัส	citrus
ซูแอไนต์	suanite
ซูเนอไรต์	zeunerite
ซัลโฟเฮไลต์	sulphohalite
ซีเกท	seagate
โซเดียมไซคลาเมต	sodium cyclamate
แซ็กคาริน	saccharin
ซีลส์	seals
ซีดีอาร์	cdr
แซมอน	salmon
ซินช์	cinch
ซินดี	cindy
เซนทอร์	centaur
แซมบาวิสเซิล	samba whistle
ซีเอฟโอ	cfo
ซีเรียล	cereal
ซีซัน	season
ไซโคลน	cyclone
เซนเซอร์	sensor
ซินเดอร์	cinder
โซดา	soda
ซิลิคอน	silicon
ซีลอไนต์	ceylonite
เซนทริโน	centrino
เซเว่นอีเลฟเว่น	7eleven
เซอร์ทิฟิเคิต	certificate
ซิมพลิไซต์	symplesite
ซอร์เบต์	sorbet
ซีเซียม	caesium
ซิวิไลเซชัน	civilization
ซิป	zip
ซีเอ็มเอส	cms
ไซโมเฟน	cymophane
ซูเปอร์แมน	superman
โซเดียมซัลเฟต	sodium sulphate
ซาร์ดีน	sardine
เซนเตอร์	center
ซัลฟา	sulpha
ไซเบอร์	cyber
ซิเนมา	cinema
โซเชียลเน็ตเวิร์ก	social network
ไซเอนซ์	science
โซลเจอร์	soldier
ซูเปอร์มาร์เกต	supermarket
เซนเฟลไดต์	sainfeldite
ซีบอร์เกียม	seaborgium
ซูโครส	sucrose
ซาฟารี	safari
ซาโพไนต์	saponite
ซีดีรอม	cdrom
ซีฟู้ด	seafood
ซีไรต์	cerite
ซาวร์ครีม	sourcream
เซ็กซี่	sexy
ซีรีส์	series
เซล	sale
ซิวิก	civic
ซอฟต์แวร์	software
ซีโอไลต์	zeolite
ไซต์	cite
ซัลเฟอร์	sulphur
ซิตี	city
ไซโล	silo
โซฟา	sofa
เซียนนา	sienna
ซุป	soup
เซอร์เคล็ต	circlet
ซูพรีโมเจมเบ	supremo djembe
เซลเซียส	celsius
เซนทรัล	central
เซอรูเลียน	cerulean
ซีฟูด	seafood
ไซโลมิเลน	psilomelane
เซต	set
ซิกแซ็ก	zigzag
ซิตเทิร์น	cittern
เซลลูโลส	cellulose
แซ็กคารินโซเดียม	saccharin sodium
ซิกาเร็ตต์	cigarette
ซิติเซนชิป	citizenship
ซูโดมาลาไคต์	pseudomalachite
ซีโนไทม์	xenotime
เซ็นเซอร์	censor
เซิร์ก	cirque
เซานา	sauna
เซรัฟ	seraph
ซีดี	cd
ซัมซุง	samsung
แซตทักไกต์	shatuckite
ซ็อกเก็ต	socket
เซอร์คลิต	circlet
ไซบอร์ก	cyborg
ซินน์วอลไดต์	zinwaldite
ซินคิไซต์	synchysite
เซเลสไทต์	celestite
ซอส	sauce
ซิวิล	civil
แซฟฟลอไรต์	safflorite
เซอร์คอน	zircon
เซนทรัม	centrum
แซสโซไลต์	sassolite
เซิร์ชชิง	searching
เซิร์ช	search
เซรัสไซต์	cerussite
ซิงเกิ้ล	single
ซอร์สโค้ด	source code
โซดาไลต์	sodalite
ซิฟิลิส	syphilis
ซิงเคไนต์	zinkenite
ซิทาเดล	citadel
เซลฟี	selfie
เซลเลไอต์	sellaite
ซาวนด์แทร็ก	soundtrack
แซ็ก	sac
เซนติเกรด	centigrade
ดานเซอร์	dancer
ดีซี	dc
เดสก์ท็อป	desktop
โดเนต	donate
โดเมย์ไคต์	domeykite
ไดอะสปอร์	diaspore
ดัมมี	dummy
โดเมน	domain
ดีล	deal
ไดครอยต์	dichroite
เดลิเวอรี	deliveree
ดราไวต์	dravite
โด	dough
เดย์	day
ดีพ เลินนิ่ง	deep learning
เดสเซิร์ต	dessert
ดับเบิลวอลูม	double volume
ดีต์ไซต์	dietzeite
โดโลไมต์	dolomite
ดอกเตอร์	doctor
ดีเปรสชัน	depression
ไดอิเล็กทริก	dielectric
เดนมาร์ก	denmark
ดิสนีย์	disney
ดีเบต	debate
ดราฟต์	draft
โดส	dose
ไดมอนด์	diamond
ดัมบ์เบล	dumbbell
ดีบุก	tin
ดับเบิล	double
โดนัล	donald
ไดอามอนด์	diamond
ดริงก์	drink
ดีพเลินนิ่ง	deep learning
ไดออปไซด์	diopside
ดีเจ	dj
ดีท็อกซ์	detox
ดรอว์	draw
เดต	date
ดอร์เม้าส์	dormouse
ไดกิ้น	daikin
ดีป้า	depa
ดีวีดี	dvd
เดส์	days
ดีมันทอยด์	demantoid
ไดเรกตริกซ์	directrix
เดวิด ทิม	david timm
ดุฟไทต์	duftite
ดูเฟรไนต์	dufrenite
ดารามิน	daramin
ดาวน์ทาวน์	downtown
ดิกไคต์	dickite
ดาโทไลต์	datolite
เดกซ์โทรส	dextrose
ดัมป์	dump
ดาร์มสตัดเทียม	darmstadtium
ดิสโพรเซียม	dysprosium
ด็อกเตอร์	doctor
โดนัลด์	donald
ดิเบต	debate
เดอะซีรี่ส์	the series
ดาร์ก	dark
ดิจิตอล	digital
ไดรฟ์	drive
ไดออปเทส	dioptase
เดดไลน์	deadline
ดีเซล	diesel
เดโม	demo
ดีไซน์	design
ดูมอร์เทอไรต์	dumortierite
ดอลลาร์	dollar
ไดโนเสาร์	dinosaur
ดีพเลิร์นนิง	deep learning
ดิจิทัล	digital
ดิสเครไซต์	dyscrasite
เดซิเมตร	decimetre
ไดเจไนต์	digenite
ดาวน์	down
ไดอะโบลีไอต์	diaboleite
ดิไซเนอร์	designer
ดาวน์โหลด	download
แดนเซอร์	dancer
โดนัต	donut
ดรัม	drum
ดิสโกเทก	discotheque
ติโม่ แวร์เนอร์	timo werner
เต็นท์	tent
ติ๊กต็อก	tiktok
ตัน	ton
ทีลไลต์	teallite
โทแพโซไลต์	topazolite
เทามาไซต์	thaumasite
ไททาไนต์	titanite
ทรัมเป็ต	trumpet
ทรอมโบน	trombone
เทรนด์	trend
ทอฟฟี่เค้ก	toffee cake
ไทเทรต	titrate
แทเมอรูไกต์	tamarugite
เทรน	train
เทนเซ็นต์	tencent
ไททันออไจต์	titanaugite
แท็บ	tab
เทนแนนไทต์	tennantite
เทคนิก	technic
เทอร์โมไดนามิกส์	thermodynamics
ทอร์นาโด	tornado
ทังสเตน	tungsten
เทแรโนดอน	pteranodon
โทมัส ทูเคิ่ล	thomas tuchel
ทาฟ์ไฟต์	taaffeite
ทีมเวิร์ก	team work
ทินคัลโคไนต์	tincalconite
เทมเพล็ต	template
เทรโมไลต์	tremolite
แทลเลียม	thallium
ทรานซิสเตอร์	transistor
ทียูยามูไนต์	tyuyamunite
แทนเจนต์	tangent
โทแพซ	topaz
แท็บเล็ต	tablet
ทอเรียไนต์	thorianite
เทอม	term
แทกไฮไดรต์	tachhydrite
ทวีต	tweet
ทีซีดีซี	tcdc
ทรีตเมนต์	treatment
โทรนา	trona
แทนซาไนต์	tanzanite
เททราฮีไดรต์	tetrahedrite
แทมารินด์	tamarind
ทีเอ็นที	tnt
ทริดิไมต์	tridymite
โทะเซะกิ	toseki
เทลลูเรียม	tellurium
ทิแรนโนซอรัสเร็กซ์	tyrannosaurus rex
ท็อปปิก	topic
ไทรกลีเซอไรด์	triglyceride
แทร็ก	track
เทนาร์ไดต์	thenardite
ทีวี	tv
แท็กซี	taxi
เทรด	trade
ทอเรียม	thorium
เทนนิส	tennis
เทอร์เบียม	terbium
ทอโรกุม์ไมต์	thorogummite
แทพิโอไลต์	tapiolite
ทรู	true
ทูริงไกต์	thuringite
ทอนซิล	tonsil
ทูนา	tuna
ทวิสต์	twist
